"Progress","ResponseId","Q39","Q18_1_1","Q18_1_2","Q18_1_3","Q18_1_4","Q18_1_5","Q18_1_6","Q18_1_7","Q18_1_8"
"23","R_3j3DaPMl04CjQdd","1,2,3,4,5,6,7,8","","","","","","","",""
"3","R_AAJq7EbSDOxKCHL","","","","","","","","",""
"20","R_AHvw59Kxra1cTQJ","1,2,3,4,5,7,8","","","","","","","",""
"97","R_24ecteFsk5qJleV","1,2,3,4,5,6,7,8","2","1","2","2","1","1","1","1"
"43","R_3F3Zs5VnOTF2tR2","1,2,3,4,5,6,7,8","Und ","","","","","","",""
"23","R_1Q6FprlFbZOmdo1","1,2,3,4,5,6,7,8","","","","","","","",""
"3","R_1kOCe3hnePncThO","","","","","","","","",""
"33","R_1BQkxJbLS9RyWsc","1,2,3,4,5,6,7,8","","","","","","","",""
"7","R_8vKo9V2ByV0nWSJ","","","","","","","","",""
"33","R_PS9ZllERqA6KAyl","1,2,3,4,5,6,7,8","","","","","","","",""
"7","R_2RWWwx9j8qAFHif","","","","","","","","",""
"13","R_3kI02TAIpAiYgNF","1,2,3,4,5,6,7,8","","","","","","","",""
"20","R_2dR4Zfv2ohuUDil","1,2,3,4,5,7,8","","","","","","","",""
"3","R_1otpXWRY1k8dlAp","","","","","","","","",""
"13","R_1ojcif1bh3M2smH","3","","","","","","","",""
"7","R_1ojV4Zn3EdOgq7V","","","","","","","","",""
"23","R_2xP06QSfIALoXg9","1,2,3,4,5,6,7,8","","","","","","","",""
"7","R_2E0lXLAZ8MDXj0c","","","","","","","","",""
"20","R_1ItPr6wqVRiVuRX","1,2,3,4,5,6,7,8","","","","","","","",""
"100","R_1QfNctqkT9LJVjS","1,2,3,4,5,6,7,8","2","1.5","2.7","3","2","1.5","2","3"
"23","R_zflwJtLWNieWEM1","1,2,3,4,5,7,8","","","","","","","",""
"7","R_0MMb4F8KyNRK34d","","","","","","","","",""
"3","R_1LbAw5LAOvoQAal","","","","","","","","",""
"23","R_3MzFUGR3fvokreT","1,2,3,4,5,6,7,8","","","","","","","",""
"7","R_1i8wR3piN8UofxK","","","","","","","","",""
"17","R_2YsNNEFbkafCqpj","1,2,3,4,5,6,7,8","","","","","","","",""
"20","R_dd4LSk46fWCsogh","1,2,3,4,5,6,7,8","","","","","","","",""
"3","R_1EZgJg0vUtMudai","","","","","","","","",""
"3","R_3EQIX8vinXYb7Zp","","","","","","","","",""
"7","R_3R2YMCir8jAElMa","","","","","","","","",""
"7","R_2WJw6vJvpuY22ju","","","","","","","","",""
"7","R_1cUDR9eeM09fZ2G","","","","","","","","",""
"23","R_qyyuC3yvcgJ0P4Z","1,2,3,4,5,7,8","","","","","","","",""
"7","R_110DkpMwm8jHEac","","","","","","","","",""
"13","R_wYoV0nA7ooA7dvj","1,2,3,5,6,7,8","","","","","","","",""
"20","R_21ivq7fCty3uOz7","1,2,3,4,5,6,7,8","","","","","","","",""
"63","R_3lSkINeGDEMFnSc","1,2,3,4,5,7,8","2","1,5","1","3","3","2","2","1"
"7","R_RrzDvi3EyrzUHBv","","","","","","","","",""
"7","R_1g0FCfKl1qzvcsI","","","","","","","","",""
"7","R_28GJppYGozbXPca","","","","","","","","",""
"7","R_3DcGEDZkWnr7Gv5","","","","","","","","",""
"13","R_33221evLgOke3e1","1,2,3,4,5,6,7,8","","","","","","","",""
"23","R_2zApEXIZ0CfCT3w","1,2,3,4,5,7","","","","","","","",""
"20","R_2cdvAMvnNyRYyzb","1,2,3,4,5,7,8","","","","","","","",""
"3","R_1Csif8ei701Xymo","","","","","","","","",""
"23","R_Btx56jy67bje2BP","1,2,3,4,7,8","","","","","","","",""
"13","R_07nyikIP0RDM8Xn","3","","","","","","","",""
"7","R_1Q6hTmQLSCmUSXI","","","","","","","","",""
"17","R_1Cd8qwCiIt5bMdG","4","","","","","","","",""
"33","R_3CQxKazpyoX4IMt","2,3","","","","","","","",""
"7","R_1gAaV19KBRoXC5w","","","","","","","","",""
"43","R_1Nf5QMLfAW51sqd","1,2,3,4,5,6,7,8","4","2","3","5","1","0,5","2,5","2"
"23","R_2CE5hCzAy6dMyRI","1,2,3,4,5,6,7,8","","","","","","","",""
"3","R_Y9AYS5snDBwrTMd","","","","","","","","",""
"23","R_Zaaba7mj7OugS4x","1,2,3,4,5,7,8","","","","","","","",""
"7","R_3maeFY7QfZPmVIj","","","","","","","","",""
"3","R_RJk7Ax4Y8SfUcQp","","","","","","","","",""
"67","R_pE19EcUZeZGUbwB","1,2,3,6","1.5€","1€","2€","2€","3€","2€","3€","2€"
"3","R_1MSUBPLXieEjpvg","","","","","","","","",""
"63","R_1TR6pfGXZKQ4xQl","1,2,3,4,5,7,8","€3","€2.50","€3","€3.50","€3","€2","€2","€2"
"3","R_3n0mpZwHZVj1hzs","","","","","","","","",""
"33","R_2z6WzZz3iTQEIAq","1,3,6","","","","","","","",""
"63","R_3qJZ7bGqEah2QAV","1,2,3,4,5,6,7,8","€2","€1","€2.99","€2.99","€1.99","€1.49","€1.69","1.29"
"63","R_pcoGSMV8OBM3o8V","1,2,3","2","1","1","2","2","2","2","2"
"97","R_1o29uzyvS3CiSP0","1,2,3,4,5,7,8","2","1","1","2","1,5","1,5","1","0,5"
"7","R_prwLEez5YgIouCB","","","","","","","","",""
"7","R_2Br1jNaLeBQLuo0","","","","","","","","",""
"7","R_VPVfXsr2PFuTzJn","","","","","","","","",""
"7","R_OBaJGkfVvMGCBgJ","","","","","","","","",""
"23","R_urIfpOs9poISV6F","2,3,5,7","","","","","","","",""
"7","R_3iUSe2B3gCnJa78","","","","","","","","",""
"20","R_3oOeZAZa9vhMFvg","1,2,3,4,5,7,8","","","","","","","",""
"40","R_6fndfAof2YK9sw9","1,2,3,4,5,7,8","2","0.5","1","4","3","0.5","2","1"
"7","R_r9jv6lKVcrre1EZ","","","","","","","","",""
"37","R_3RyL4stuGBFwgfm","1,2,3,4,5,7,8","","","","","","","",""
"33","R_tG7uZRVcBstePL3","1,2,3,4,5,6,7","","","","","","","",""
"20","R_bHNSZDBhGoVhTTr","1,2,3,4,5,6,7,8","","","","","","","",""
"23","R_xni8kSb2V8ojJqF","1,2,3,4,7","","","","","","","",""
"20","R_25H4eJS0DSzr0LG","3","","","","","","","",""
"3","R_3m1MXZhMYbA21dY","","","","","","","","",""
"37","R_2bTNrA53L3y8Usp","1,2,3,4,5,6,7,8","","","","","","","",""
"37","R_2P7EDZpuYeWVLri","1","","","","","","","",""
"63","R_ylsYpvS7lb0u9rP","2,3","1","1","2","2","1","1","1","1"
"23","R_1DPd4MaETOoU938","2,4,5,7,8","","","","","","","",""
"33","R_1HhmN75pnjKbO2n","1,3","","","","","","","",""
"20","R_2wsEMaADRPm4CbH","1,2,3,4,5,6,7,8","","","","","","","",""
"100","R_6FE31VQ2WbHEW3v","2,4,5,6,7,8","2.5","1.5","1","2","3.5","1.5","1.5","2"
"7","R_0InPWScwI6o0uBz","","","","","","","","",""
"23","R_8r0xDFAaPLwLwTn","1,2,3,4,5,6,7,8","","","","","","","",""
"13","R_yUVS3U5HtM8pwul","3","","","","","","","",""
